"","Classification_orig","Class_orig_short","perc_subsample","ClinicalStudy","Tissue","mean_accuracy","sd_accuracy","se_accuracy"
"77","Multilineage_UniLyT","Multi_UniLyT","80%","WAS","BM",0.905081426509998,0.150913501487207,0.00650030467833517
"78","Multilineage_UniLyT","Multi_UniLyT","80%","WAS","PB",0.909782437021243,0.153761064609114,0.00485024131212036
"79","Multilineage_UniLyT","Multi_UniLyT","90%","BTHAL","BM",0.97457264957265,0.0721874070086298,0.0100105922081694
"80","Multilineage_UniLyT","Multi_UniLyT","90%","BTHAL","PB",0.96832504145937,0.0863538715900055,0.0105498045101667
"81","Multilineage_UniLyT","Multi_UniLyT","90%","MLD","BM",0.971689858739195,0.0904759729511086,0.00394119528422604
"82","Multilineage_UniLyT","Multi_UniLyT","90%","MLD","PB",0.966431451612903,0.0913987583336113,0.00236940243375737
"83","Multilineage_UniLyT","Multi_UniLyT","90%","WAS","BM",0.914883529169243,0.145052313132337,0.00624784542380655
"84","Multilineage_UniLyT","Multi_UniLyT","90%","WAS","PB",0.924300718629077,0.136300507775109,0.00429946524729402
"85","Multilineage_UniMyeloid","Multi_UniMy","50%","BTHAL","BM",0.917635226726136,0.16611782011958,0.00871892437847574
"86","Multilineage_UniMyeloid","Multi_UniMy","50%","BTHAL","PB",0.923566308243728,0.167322364153723,0.0150259918748317
"87","Multilineage_UniMyeloid","Multi_UniMy","50%","MLD","BM",0.952720587956808,0.137444892488241,0.00212309670099846
"88","Multilineage_UniMyeloid","Multi_UniMy","50%","MLD","PB",0.93472557987992,0.157138320061863,0.00196699703800457
"89","Multilineage_UniMyeloid","Multi_UniMy","50%","WAS","BM",0.841177248677249,0.219515041520106,0.00972028941850792
"90","Multilineage_UniMyeloid","Multi_UniMy","50%","WAS","PB",0.819242063492064,0.239471796786338,0.00722034634375017
"91","Multilineage_UniMyeloid","Multi_UniMy","70%","BTHAL","BM",0.932608553063099,0.15629758457585,0.00820349568441409
"92","Multilineage_UniMyeloid","Multi_UniMy","70%","BTHAL","PB",0.930990783410138,0.171889834088181,0.01543616278337
"93","Multilineage_UniMyeloid","Multi_UniMy","70%","MLD","BM",0.962428749436623,0.123617364268488,0.00190950433670721
"94","Multilineage_UniMyeloid","Multi_UniMy","70%","MLD","PB",0.948084269746758,0.1465991103146,0.00183507126491743
"95","Multilineage_UniMyeloid","Multi_UniMy","70%","WAS","BM",0.863315437286026,0.226073620955141,0.0100107081972911
"96","Multilineage_UniMyeloid","Multi_UniMy","70%","WAS","PB",0.852424603174603,0.22516142723882,0.0067888724673825
"97","Multilineage_UniMyeloid","Multi_UniMy","80%","BTHAL","BM",0.9541169268442,0.119354884693884,0.0062645068006464
"98","Multilineage_UniMyeloid","Multi_UniMy","80%","BTHAL","PB",0.955645161290323,0.113554842847498,0.010197525923114
"99","Multilineage_UniMyeloid","Multi_UniMy","80%","MLD","BM",0.975050372491317,0.086151933226499,0.00133077979040558
"100","Multilineage_UniMyeloid","Multi_UniMy","80%","MLD","PB",0.966490824889446,0.0969232537352334,0.00121324800300725
"101","Multilineage_UniMyeloid","Multi_UniMy","80%","WAS","BM",0.913986928104575,0.14668624168527,0.00649537595702036
"102","Multilineage_UniMyeloid","Multi_UniMy","80%","WAS","PB",0.902611111111111,0.150757170770554,0.00454549972637694
"103","Multilineage_UniMyeloid","Multi_UniMy","90%","BTHAL","BM",0.965985613712886,0.0949705468999748,0.00498466098343513
"104","Multilineage_UniMyeloid","Multi_UniMy","90%","BTHAL","PB",0.972401433691756,0.0772986126742553,0.00694162033780516
"105","Multilineage_UniMyeloid","Multi_UniMy","90%","MLD","BM",0.981188525676715,0.0685357060821351,0.00105866379498991
"106","Multilineage_UniMyeloid","Multi_UniMy","90%","MLD","PB",0.973192398760403,0.0826970087768794,0.00103516934158339
"107","Multilineage_UniMyeloid","Multi_UniMy","90%","WAS","BM",0.931677559912854,0.134413757712299,0.00595194123256957
"108","Multilineage_UniMyeloid","Multi_UniMy","90%","WAS","PB",0.920212121212121,0.136242402656167,0.00410786300133659
"109","UniErythroid_UniErythroid","UniEry_UniEry","50%","BTHAL","BM",0.99630314232902,0.0368160737092325,0.00111924159171817
"110","UniErythroid_UniErythroid","UniEry_UniEry","50%","MLD","BM",1,0,0
"111","UniErythroid_UniErythroid","UniEry_UniEry","50%","WAS","BM",0.975,0.13228756555323,0.025
"112","UniErythroid_UniErythroid","UniEry_UniEry","70%","BTHAL","BM",0.997147771616348,0.035523941260625,0.00107995960880191
"113","UniErythroid_UniErythroid","UniEry_UniEry","70%","MLD","BM",1,0,0
